,s20230217014,s20230217015,s20230217016,s20230217017,s20230217018,s20230217019,s20230217020,s20230217021,s20230217022,s20230217054,s20230217055,s20230217056,s20230217057,s20230217058,s20230217059,s20230217060,s20230217061,s20230217095,s20230217097,s20230217098,s20230217099,s20230217100,s20230217101,s20230217102,s20230217103
C11H15O11P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8313652730271,15.8313652730271,15.8313652730271,15.8313652730271,15.8313652730271,15.8313652730271,15.8313652730271
C14H19O12P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94326833265959,3.94326833265959,3.94326833265959,3.94326833265959,3.94326833265959,3.94326833265959,3.94326833265959,3.94326833265959
C15H19O12P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1301943199473,NA,NA,NA,NA,NA,NA,NA
C17H25O15P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.88265031031131,NA,NA,NA,NA,NA,NA,NA
C17H23O15P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.65635684681578,9.65635684681578,9.65635684681578,9.65635684681578,9.65635684681578,9.65635684681578,9.65635684681578,9.65635684681578
C16H23O14P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04718999201854,4.04718999201854,NA,4.04718999201854,4.04718999201854,4.04718999201854,4.04718999201854
C17H23O14P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93056552068209,3.93056552068209,3.93056552068209,3.93056552068209,3.93056552068209,3.93056552068209,3.93056552068209
C20H27O13P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9171659164897,12.9171659164897,12.9171659164897,12.9171659164897,12.9171659164897,12.9171659164897,12.9171659164897,12.9171659164897
C19H25O13P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.73733392923885,5.73733392923885,5.73733392923885,5.73733392923885,5.73733392923885,5.73733392923885,5.73733392923885
C17H23O13P1,13.9909691529302,13.9909691529302,13.9909691529302,13.9909691529302,13.9909691529302,13.9909691529302,13.9909691529302,13.9909691529302,13.9909691529302,NA,NA,NA,NA,NA,NA,NA,NA,13.9909691529302,13.9909691529302,13.9909691529302,13.9909691529302,13.9909691529302,13.9909691529302,13.9909691529302,13.9909691529302
